what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246305734
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246321468
started,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1217246325609
started,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1217246325765
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246337781
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1217246339343
activated,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1217246339984
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1217246340609
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246343562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246343906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246346156
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246349062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246351062
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1217246354031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246362156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246362312
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217246362500
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217246368812
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1217246369984
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1217246370296
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1217246370406
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217246380328
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.exit,1217246388109
stopped,bundle,com.sysdeo.eclipse.tomcat,3.2.1,com.sysdeo.eclipse.tomcat,1217246390156
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1217246390171
