what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177580250
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177580390
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177580421
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177589234
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177589250
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177589375
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177590109
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177591406
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177592984
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1220177592984
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177595093
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1220177596859
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177599031
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177600375
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1220177600453
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177603015
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177603078
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177611031
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177611031
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1220177612093
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177612093
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1220177613265
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1220177626843
started,bundle,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.resources,1220177626984
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.0.v200804302218,org.eclipse.wst.jsdt.manipulation,1220177627171
