what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216817368140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817370218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817374078
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1216817374156
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817377125
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817377203
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817380031
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817380031
activated,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1216817381500
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817381500
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216817383484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817385953
closed,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216817387328
closed,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216817387375
closed,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216817387406
closed,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1216817387437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817387484
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1216817387562
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1216817387562
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817390234
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817393140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817393468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817411156
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1216817412468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817412750
