what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904397296
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1221904397312
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1221904397312
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1221904399125
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.run,1221904400828
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1221904402437
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1221904405015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904405140
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904405203
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1221904405203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904406125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904406265
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1221904406953
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1221904408578
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1221904414296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904415984
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904421234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1221904421250
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904423843
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.selectAll,1221904444625
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1221904452718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904486234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904488718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1221904540453
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1221904540515
