what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1216817851062
started,bundle,org.jboss.ide.eclipse.core,2.1.1.GA,org.jboss.ide.eclipse.core,1216817851093
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1216817853093
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.ui,1216817853625
started,bundle,org.eclipse.jst.jee.ejb,1.0.100.v200805151150,org.eclipse.jst.jee.ejb,1216817872421
started,bundle,org.eclipse.jst.jee.web,1.0.100.v200805140020,org.eclipse.jst.jee.web,1216817872421
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817872765
started,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1216817872890
started,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1216817872890
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1216817872968
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817874859
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1216817875000
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1216817875031
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817875218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817876718
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817879500
stopped,bundle,com.sysdeo.eclipse.tomcat,3.2.1,com.sysdeo.eclipse.tomcat,1216817881015
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1216817881015
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1216817881015
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1216817881031
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1216817881031
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1216817881031
stopped,bundle,org.jboss.tools.esb.ui,1.0.0.GA,org.jboss.tools.esb.ui,1216817881031
stopped,bundle,org.jboss.tools.jsf.ui,2.1.1.GA,org.jboss.tools.jsf.ui,1216817881031
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,2.1.1.GA,org.jboss.tools.jst.web.tiles.ui,1216817881031
