what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177509921
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220177509937
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1220177511734
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1220177511796
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1220177511859
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1220177511875
started,bundle,org.eclipse.wst.jsdt.core,1.0.0.v200805291857,org.eclipse.wst.jsdt.core,1220177512375
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.0.v200805221604,org.eclipse.wst.jsdt.web.core,1220177512609
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177513578
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177524109
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177526671
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1220177541812
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1220177541921
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177551937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177553875
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177559828
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.run,1220177562609
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1220177564531
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1220177566359
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1220177569203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177571437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177573031
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1220177573078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177575031
started,bundle,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser,1220177578562
