what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816016187
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216816017953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816027781
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816032984
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.organize.imports,1216816033093
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816037031
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1216816038000
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216816044843
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216816045000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816067328
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816068078
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816069390
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216816070171
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1216816070859
started,bundle,org.jboss.tools.seam.text.ext,2.1.2.GA,org.jboss.tools.seam.text.ext,1216816071109
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1216816071140
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816075625
started,bundle,org.eclipse.jst.j2ee.jca,1.1.200.v200806041500,org.eclipse.jst.j2ee.jca,1216816091281
started,bundle,org.eclipse.jst.jee.ejb,1.0.100.v200805151150,org.eclipse.jst.jee.ejb,1216816091281
started,bundle,org.eclipse.jst.jee.web,1.0.100.v200805140020,org.eclipse.jst.jee.web,1216816091296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816091390
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816093718
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816094187
started,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1216816094421
started,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1216816094421
