what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.selectAll,1216816772140
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1216816773140
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1216816774765
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816776218
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816784781
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816798515
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1216816798562
activated,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216816798718
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816799984
activated,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216816807812
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816807843
activated,editor,org.jboss.tools.jst.jsp,2.1.1.GA,org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor,1216816823343
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816823609
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816823625
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816823625
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816823640
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816823656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816825531
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216816829390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816837437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816837468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816846750
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816846781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816847718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216816848843
