what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.0.v200805282135,org.eclipse.wst.jsdt.ui,1220177627218
started,bundle,org.eclipse.emf.edit,2.4.0.v200806091234,org.eclipse.emf.edit,1220177627312
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200806091234,org.eclipse.emf.common.ui,1220177627328
started,bundle,org.eclipse.emf.edit.ui,2.4.0.v200806091234,org.eclipse.emf.edit.ui,1220177627328
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.webservice.ui,1220177627343
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.200.v200805150230,org.eclipse.jst.j2ee.webservice,1220177627375
started,bundle,org.eclipse.jst.jee.ui,1.0.100.v200805221242,org.eclipse.jst.jee.ui,1220177627484
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.200.v200805221242,org.eclipse.jst.j2ee.navigator.ui,1220177627500
opened,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220177627593
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1220177629796
started,bundle,org.eclipse.wst.ws.service.policy,1.0.0.v200805221441,org.eclipse.wst.ws.service.policy,1220177634046
started,bundle,org.eclipse.wst.command.env,1.0.305.v200805281530,org.eclipse.wst.command.env,1220177634140
started,bundle,org.eclipse.wst.ws,1.1.0.v200805140300,org.eclipse.wst.ws,1220177634140
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177634468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177652921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177657734
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177659328
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1220177659375
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177661625
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1220177661750
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177666171
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220177669796
activated,view,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui.ServersView,1220177670734
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.run,1220177672718
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1220177674406
