what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817182046
activated,editor,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1216817182859
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817182859
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216817184203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817186125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817187406
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1216817187515
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817187609
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817187718
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216817193500
activated,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1216817194468
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1216817221093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817226656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817227921
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1216817227953
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1216817227953
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817232843
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216817234796
executed,command,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.launchShortcut.run,1216817234906
opened,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817234984
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817235046
activated,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1216817236843
closed,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817236843
activated,editor,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser.editor,1216817237765
activated,editor,org.jboss.tools.common.model.ui,2.1.1.GA,org.jboss.tools.common.model.ui.editor.EditorPartWrapper,1216817238468
